trade_number,direction,entry_time,exit_time,entry_signal,exit_signal,entry_price_usd,exit_price_usd,quantity,position_value_shown,net_pnl_usd,return_pct,commission_usd,mfe_usd,mfe_pct,mae_usd,mae_pct,cumulative_pnl_usd,cumulative_pct,duration_bars
1,short,2018-06-26 15:00,2018-08-24 19:00,Short,Close entry(s) order Short,1256.625,1205.558,0.79,992.73 USD,38.398,3.86,1.945,75.085,7.56,-8.417,-0.85,38.398,3.84,258
2,short,2018-08-29 07:00,2018-09-19 07:00,Short,Close entry(s) order Short,1204.700,1202.068,0.86,1.04 K USD,0.194,0.02,2.070,13.482,1.30,-7.957,-0.77,38.592,3.86,89
3,short,2020-11-23 19:00,2020-12-08 19:00,Short,Close entry(s) order Short,1839.820,1872.926,0.56,1.03 K USD,-20.618,-2.00,2.079,41.110,3.99,-20.902,-2.03,17.973,1.80,65
4,short,2021-01-18 03:00,2021-01-20 23:00,Short,Close entry(s) order Short,1825.220,1871.650,0.55,1 K USD,-27.570,-2.74,2.033,0.000,0.00,-26.623,-2.65,-9.597,-0.96,16
5,short,2021-02-25 11:00,2021-03-22 06:00,Short,Close entry(s) order Short,1794.519,1742.673,0.55,986.99 USD,26.570,2.69,1.945,63.722,6.45,-1.499,-0.15,16.973,1.70,101
6,short,2021-03-22 10:00,2021-04-14 11:00,Short,Close entry(s) order Short,1729.976,1745.762,0.58,1 K USD,-11.172,-1.11,2.016,29.169,2.90,-17.677,-1.76,5.801,0.58,96
7,short,2021-06-29 19:00,2021-07-14 11:00,Short,Close entry(s) order Short,1763.135,1814.080,0.56,987.36 USD,-30.532,-3.09,2.003,4.442,0.45,-32.014,-3.24,-24.731,-2.47,63
8,short,2021-09-23 19:00,2021-10-07 11:00,Short,Close entry(s) order Short,1750.025,1760.875,0.55,962.51 USD,-7.898,-0.82,1.931,14.611,1.52,-12.268,-1.27,-32.630,-3.26,58
9,short,2021-12-02 19:00,2021-12-16 19:00,Short,Close entry(s) order Short,1763.476,1797.295,0.54,952.28 USD,-20.185,-2.12,1.923,4.667,0.49,-20.195,-2.12,-52.815,-5.28,60
10,short,2022-05-02 19:00,2022-05-30 11:00,Short,Close entry(s) order Short,1866.020,1859.035,0.50,933.01 USD,1.630,0.17,1.863,38.684,4.14,-22.833,-2.44,-51.185,-5.12,118
11,short,2022-06-13 19:00,2022-07-27 23:00,Short,Close entry(s) order Short,1828.895,1734.625,0.51,932.74 USD,46.260,4.95,1.817,74.527,7.98,-15.590,-1.67,-4.924,-0.49,193
12,short,2022-08-28 23:00,2022-10-04 19:00,Short,Close entry(s) order Short,1738.050,1723.325,0.57,990.69 USD,6.420,0.65,1.973,69.191,6.98,-5.269,-0.53,1.496,0.15,161
13,short,2022-10-13 15:00,2022-11-06 23:00,Short,Close entry(s) order Short,1654.655,1680.915,0.60,992.79 USD,-17.757,-1.79,2.001,21.795,2.19,-17.253,-1.74,-16.262,-1.63,98
14,short,2023-06-28 07:00,2023-07-12 19:00,Short,Close entry(s) order Short,1915.265,1959.285,0.51,976.79 USD,-24.426,-2.50,1.976,10.343,1.06,-23.539,-2.41,-40.688,-4.07,63
15,short,2023-08-15 07:00,2023-08-28 19:00,Short,Close entry(s) order Short,1906.655,1920.725,0.50,953.33 USD,-8.949,-0.94,1.914,9.932,1.04,-10.676,-1.12,-49.636,-4.96,57
16,short,2026-04-06 03:00,2026-04-08 03:00,Short,Close entry(s) order Short,4622.630,4817.730,0.20,924.53 USD,-40.908,-4.42,1.888,2.075,0.22,-48.042,-5.19,-90.545,-9.05,12
17,short,2026-04-27 19:00,2026-05-07 15:00,Short,Close entry(s) order Short,4676.915,4750.235,0.19,888.61 USD,-15.722,-1.77,1.791,32.529,3.66,-15.427,-1.73,-106.266,-10.63,47
