trade_number,result,primary_classification,entry_timing,local_regime_at_entry,ema_slope_at_entry,exit_reason,mfe_pct,mae_pct,duration_bars,rationale
1,win,successful downside capture,extended capture,bearish by frozen entry gate,<= -0.03% exact value unavailable,EMA reclaim or positive-MACD bull cross not separately labelled,7.56,-0.85,258,Large favorable excursion converted to profit
2,win,small downside capture,extended low-excursion,bearish by frozen entry gate,<= -0.03% exact value unavailable,EMA reclaim or positive-MACD bull cross not separately labelled,1.30,-0.77,89,Near-flat win after limited excursion
3,loss,trend-exit giveback,downside developed then reversed,bearish by frozen entry gate,<= -0.03% exact value unavailable,EMA reclaim or positive-MACD bull cross not separately labelled,3.99,-2.03,65,Material favorable excursion ended in loss
4,loss,false bear cross / momentum failure,immediate failure,bearish by frozen entry gate,<= -0.03% exact value unavailable,EMA reclaim or positive-MACD bull cross not separately labelled,0.00,-2.65,16,No favorable excursion before adverse move
5,win,successful downside capture,extended capture,bearish by frozen entry gate,<= -0.03% exact value unavailable,EMA reclaim or positive-MACD bull cross not separately labelled,6.45,-0.15,101,Large favorable excursion converted to profit
6,loss,trend-exit giveback,downside developed then reversed,bearish by frozen entry gate,<= -0.03% exact value unavailable,EMA reclaim or positive-MACD bull cross not separately labelled,2.90,-1.76,96,Material favorable excursion ended in loss
7,loss,false bear cross / momentum failure,no sustained downside,bearish by frozen entry gate,<= -0.03% exact value unavailable,EMA reclaim or positive-MACD bull cross not separately labelled,0.45,-3.24,63,Minimal favorable excursion with large adverse excursion
8,loss,trend-exit giveback,downside developed then reversed,bearish by frozen entry gate,<= -0.03% exact value unavailable,EMA reclaim or positive-MACD bull cross not separately labelled,1.52,-1.27,58,Favorable excursion above classification threshold ended in loss
9,loss,false bear cross / momentum failure,no sustained downside,bearish by frozen entry gate,<= -0.03% exact value unavailable,EMA reclaim or positive-MACD bull cross not separately labelled,0.49,-2.12,60,Minimal favorable excursion before full adverse move
10,win,small downside capture,extended giveback but positive close,bearish by frozen entry gate,<= -0.03% exact value unavailable,EMA reclaim or positive-MACD bull cross not separately labelled,4.14,-2.44,118,Large excursion mostly surrendered but trade remained positive
11,win,successful downside capture,extended capture,bearish by frozen entry gate,<= -0.03% exact value unavailable,EMA reclaim or positive-MACD bull cross not separately labelled,7.98,-1.67,193,Large favorable excursion converted to profit
12,win,small downside capture,extended giveback but positive close,bearish by frozen entry gate,<= -0.03% exact value unavailable,EMA reclaim or positive-MACD bull cross not separately labelled,6.98,-0.53,161,Most favorable excursion surrendered but trade remained positive
13,loss,trend-exit giveback,downside developed then reversed,bearish by frozen entry gate,<= -0.03% exact value unavailable,EMA reclaim or positive-MACD bull cross not separately labelled,2.19,-1.74,98,Material favorable excursion ended in loss
14,loss,false bear cross / momentum failure,no sustained downside,bearish by frozen entry gate,<= -0.03% exact value unavailable,EMA reclaim or positive-MACD bull cross not separately labelled,1.06,-2.41,63,Sub-threshold favorable excursion with larger adverse move
15,loss,false bear cross / momentum failure,no sustained downside,bearish by frozen entry gate,<= -0.03% exact value unavailable,EMA reclaim or positive-MACD bull cross not separately labelled,1.04,-1.12,57,Sub-threshold favorable excursion ended in loss
16,loss,false bear cross / momentum failure,immediate failure,bearish by frozen entry gate,<= -0.03% exact value unavailable,EMA reclaim or positive-MACD bull cross not separately labelled,0.22,-5.19,12,Fast largest adverse failure with almost no favorable excursion
17,loss,trend-exit giveback,downside developed then reversed,bearish by frozen entry gate,<= -0.03% exact value unavailable,EMA reclaim or positive-MACD bull cross not separately labelled,3.66,-1.73,47,Material favorable excursion ended in loss
